,fpr,tpr,thresholds
0,0.0,0.0,19.419829805999086
1,0.0005268703898840885,0.0,18.419829805999086
2,0.002107481559536354,0.0,12.625422966019382
3,0.002107481559536354,0.01,11.642262675209247
4,0.004214963119072708,0.01,11.384453624083116
5,0.004214963119072708,0.03,11.379305786192415
6,0.006322444678609062,0.03,10.688951748928954
7,0.008429926238145416,0.03,10.492312069008149
8,0.009483667017913594,0.03,10.398261316591297
9,0.01053740779768177,0.03,10.277069831278196
10,0.01738672286617492,0.03,9.42555457337671
11,0.0184404636459431,0.03,9.367914220848034
12,0.02107481559536354,0.03,9.283478535657222
13,0.02107481559536354,0.04,9.194301254010986
14,0.022128556375131718,0.04,9.107796015250264
15,0.022128556375131718,0.05,9.09418577877316
16,0.022655426765015807,0.05,9.057437075980056
17,0.022655426765015807,0.07,9.051196518864868
18,0.02476290832455216,0.07,8.927502390467557
19,0.025816649104320338,0.07,8.89880215799544
20,0.025816649104320338,0.08,8.886994844336115
21,0.026343519494204427,0.08,8.880647894500491
22,0.0273972602739726,0.08,8.879755409662312
23,0.03108535300316122,0.08,8.659004975518313
24,0.03108535300316122,0.09,8.642026867007234
25,0.03371970495258166,0.09,8.559377158628108
26,0.03371970495258166,0.11,8.541253965423074
27,0.03530031612223393,0.11,8.465917448951036
28,0.03635405690200211,0.11,8.461984520140211
29,0.03898840885142255,0.11,8.390300967412031
30,0.040042149631190724,0.11,8.343909196724013
31,0.040042149631190724,0.12,8.31645994051569
32,0.04267650158061117,0.12,8.205347970248985
33,0.04267650158061117,0.13,8.1978958631013
34,0.044783983140147525,0.13,8.134084002200401
35,0.0458377239199157,0.13,8.129957198729073
36,0.04741833508956796,0.13,8.084693960394384
37,0.04847207586933614,0.13,8.072617997667535
38,0.04899894625922023,0.13,8.071651063191407
39,0.04899894625922023,0.14,8.05763326282624
40,0.04952581664910432,0.14,8.038252731436836
41,0.051633298208640675,0.14,8.013422701611947
42,0.05374077976817703,0.14,7.976579573035513
43,0.05374077976817703,0.15,7.973157128985772
44,0.05690200210748156,0.15,7.91179213846694
45,0.05690200210748156,0.17,7.896002497818079
46,0.059536354056902004,0.17,7.859316055065715
47,0.06059009483667018,0.17,7.853919400755026
48,0.06585879873551106,0.17,7.7819548887814864
49,0.06585879873551106,0.2,7.764541925171187
50,0.06638566912539515,0.2,7.758118855306837
51,0.06743940990516333,0.2,7.754200603454995
52,0.06954689146469968,0.2,7.7319596646545135
53,0.07060063224446786,0.2,7.72866252434484
54,0.07060063224446786,0.21,7.726405551404703
55,0.0827186512118019,0.21,7.542491267832776
56,0.0827186512118019,0.22,7.5422716515901875
57,0.08324552160168598,0.22,7.525393041761742
58,0.08429926238145416,0.22,7.51967291072186
59,0.0874604847207587,0.22,7.473146355127938
60,0.0874604847207587,0.23,7.464423499934883
61,0.09114857744994731,0.23,7.4462874505352765
62,0.09114857744994731,0.24,7.4393690505727985
63,0.09536354056902002,0.24,7.3984171179108165
64,0.0964172813487882,0.24,7.394113235458008
65,0.09694415173867228,0.24,7.386245252528987
66,0.09799789251844046,0.24,7.381137758113954
67,0.10326659641728135,0.24,7.29996902531001
68,0.10326659641728135,0.26,7.289906716413863
69,0.10432033719704953,0.26,7.279541486966925
70,0.1053740779768177,0.26,7.2760593506362055
71,0.10590094836670179,0.26,7.274408442748554
72,0.10590094836670179,0.27,7.258472493304938
73,0.10906217070600632,0.27,7.235173274143188
74,0.1101159114857745,0.27,7.232190312252576
75,0.11064278187565858,0.27,7.231807852590562
76,0.11064278187565858,0.28,7.231772546863513
77,0.11169652265542676,0.28,7.229549407976308
78,0.11275026343519494,0.28,7.226276589980434
79,0.11907270811380401,0.28,7.180204612180085
80,0.12012644889357219,0.28,7.177338855941096
81,0.12223393045310854,0.28,7.164781744167278
82,0.12223393045310854,0.29,7.1629121441752135
83,0.1232876712328767,0.29,7.1535173311785485
84,0.12434141201264488,0.29,7.147239888422173
85,0.1290832455216017,0.29,7.088901185676763
86,0.13013698630136986,0.29,7.083603911201277
87,0.14330874604847207,0.29,6.981045869611691
88,0.14330874604847207,0.3,6.980915329396979
